Column1,ma_id,row_id,study_id,comparison_id,author_year,title,study_pubyear,harvest_year,longitude,latitude,region,country,control_replicates,treatment_replicates,crop_type,treatment,yield_control,yield_treatment,yield_SD_control,yield_SD_treatment,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference,longitude_new,latitude_new,country_new,falls_on_land,crop_type_grouped_small,crop_type_grouped_big
2618,A288,7861,37,1,Goldstein et al.,Comparisons of conventional organic and biodynamic methods,2004,,-88.48,42.65,,USA,5,5,Cereals,treat organic vs contr conventional,5572,7220,2946,1905,Mg/ha,,,,,0.259100897,0.069831319,,-88.48,42.65,United States of America,TRUE,Grains,Grains
2619,A288,7862,37,2,Goldstein et al.,Comparisons of conventional organic and biodynamic methods,2004,,-88.48,42.65,,USA,5,5,Cereals,treat organic vs contr conventional,5572,6794,2946,2351,Mg/ha,,,,,0.198285814,0.079856734,,-88.48,42.65,United States of America,TRUE,Grains,Grains
2620,A288,7863,37,3,Goldstein et al.,Comparisons of conventional organic and biodynamic methods,2004,,-88.48,42.65,,USA,5,5,Cereals,treat organic vs contr conventional,5572,6720,2946,2507,Mg/ha,,,,,0.187334099,0.083743481,,-88.48,42.65,United States of America,TRUE,Grains,Grains
2621,A288,7874,17,1,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Fruit,treat organic vs contr conventional,23.59,23.37,1.61,6.03,Mg/ha,,,,,-0.009369745,0.023744628,,-121.78,38.53,United States of America,TRUE,Fruits,Fruits
2650,A288,8495,17,1,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Cereals,treat organic vs contr conventional,13752.51,9206.37,962.47,1878.87,Mg/ha,,,,,-0.401325717,0.01551602,,-121.78,38.53,United States of America,TRUE,Grains,Grains
2651,A288,8496,17,2,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Fruit,treat organic vs contr conventional,30.14,22.54,2.86,3.34,Mg/ha,,,,,-0.290561685,0.010320607,,-121.78,38.53,United States of America,TRUE,Fruits,Fruits
2655,A288,8837,17,1,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Cereals,treat organic vs contr conventional,9393.98,9165.65,597.02,447.75,Mg/ha,,,,,-0.024606258,0.002141817,,-121.78,38.53,United States of America,TRUE,Grains,Grains
2656,A288,8838,17,2,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Cereals,treat organic vs contr conventional,10713.56,6900.15,422.6,822.39,Mg/ha,,,,,-0.439967078,0.005253616,,-121.78,38.53,United States of America,TRUE,Grains,Grains
2657,A288,8839,17,3,Clark et al.,Crop-yield and economic comparisons of organic low-input and conventional farming systems in California's Sacramento valley,1999,,-121.78,38.53,,USA,3,3,Fruit,treat organic vs contr conventional,12.98,31.19,3.03,2.22,Mg/ha,,,,,0.876687819,0.019852836,,-121.78,38.53,United States of America,TRUE,Fruits,Fruits
2644,A288,8277,10,1,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Randen 2. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Sugar Crops,treat organic vs contr conventional,614.667,494,246.6583,157.772,Mg/ha,,,,,-0.218545141,0.087677723,,7.55,47.5,Switzerland,TRUE,Beveragecrops,Others
2645,A288,8278,10,2,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Randen 2. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Sugar Crops,treat organic vs contr conventional,813.6667,620.3333,308.633,165.7599,Mg/ha,,,,,-0.271293908,0.071759607,,7.55,47.5,Switzerland,TRUE,Beveragecrops,Others
2646,A288,8279,10,3,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Randen 2. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Sugar Crops,treat organic vs contr conventional,614.667,518.6667,246.6583,190.4267,Mg/ha,,,,,-0.169819177,0.098609471,,7.55,47.5,Switzerland,TRUE,Beveragecrops,Others
2647,A288,8280,10,4,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Randen 2. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Sugar Crops,treat organic vs contr conventional,813.6667,607,308.633,198.3255,Mg/ha,,,,,-0.293022032,0.083543333,,7.55,47.5,Switzerland,TRUE,Beveragecrops,Others
2640,A288,8273,9,1,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Weisskohl 1. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Vegetables,treat organic vs contr conventional,472,379.3333,124.7718,134.6118,Mg/ha,,,,,-0.218563747,0.065269313,,7.55,47.5,Switzerland,TRUE,Vegetables,Vegetables
2641,A288,8274,9,2,Besson et al.,DOK-Versuch: vergleichende Langzeituntersuchungen in den drei Anbausystemen biologisch-dynamisch organisch-biologisch und konventionell. II. Ertrag der Kulturen: Weisskohl 1. Fruchtfolgeperiode,1993,,7.55,47.5,,Switzerland,3,3,Vegetables,treat organic vs contr conventional,472,418.3333,124.7718,148.8366,Mg/ha,,,,,-0.120700502,0.065487376,,7.55,47.5,Switzerland,TRUE,Vegetables,Vegetables
