,X,landcover_map_year,treatment,Lat_long,crop_type,mean_yield_control_kgha,mean_yield_treatment_kgha,yield_SD_control,yield_SD_treatment,replicates_control_summed,replicates_treatment_summed,n_aggregated,ma_id,measurement_id,study_id,control_id,author_year,title,study_pubyear,harvest_year,region,country,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference,longitude_decimal,latitude_decimal,country_new,crop_type_grouped_small,crop_type_grouped_big,publication_to_harvest_year_difference,harvest_year_by_median,nat.hab.1000,nat.hab.2500,nat.hab.5000,nat.hab.edgelength.1000,nat.hab.edgelength.2500,nat.hab.edgelength.5000,nat.hab.peri.area.ratio.1000,nat.hab.peri.area.ratio.2500,nat.hab.peri.area.ratio.5000,nat.hab.wo.grass.1000,nat.hab.wo.grass.2500,nat.hab.wo.grass.5000,nat.hab.wo.grass.edgelength.1000,nat.hab.wo.grass.edgelength.2500,nat.hab.wo.grass.edgelength.5000,nat.hab.wo.grass.peri.area.ratio.1000,nat.hab.wo.grass.peri.area.ratio.2500,nat.hab.wo.grass.peri.area.ratio.5000,cropland.1000,cropland.2500,cropland.5000,crop.peri.area.ratio.1000,crop.peri.area.ratio.2500,crop.peri.area.ratio.5000,crop.edgelength.1000,crop.edgelength.2500,crop.edgelength.5000,inert.1000,inert.2500,inert.5000,inert.edgelength.1000,inert.edgelength.2500,inert.edgelength.5000,inert.peri.area.ratio.1000,inert.peri.area.ratio.2500,inert.peri.area.ratio.5000,shannon.1000,shannon.2500,shannon.5000,simpsonsevenness.1000,simpsonsevenness.2500,simpsonsevenness.5000,SR,temp_avg_1970-2000,prec_avg_1970-2000
1,1,1985,Cover crops,40.8-82,Maize,10100,9676.666667,NA,NA,9,9,3,D473,1451,1,1,,,1991,NA,,USA,Mg/ha,,9.5,965,Cold,NA,NA,,-82,40.8,United States of America,Maize,Grains,NA,1984,0.431910691,0.363642771,0.413023369,1525475.195,6690468.83,26643136.03,1.136435465,0.947180187,0.830234552,0.277920284,0.239633758,0.2713835,480264.0531,1568099.657,6701680.87,0.556023848,0.33688112,0.317826708,0.450914616,0.595113882,0.510268247,0.839543969,0.397706663,0.488195836,1176533.172,4597396.244,19355416.84,0.117174694,0.041243347,0.076708384,613370.7046,2250026.89,8169164.533,1.684312941,2.808567211,1.370644722,1.173269059,0.964624196,1.053950486,2.715781035,2.176619652,2.453930399,248.3515079,9.70604157,80.83333333
2,2,1985,Liming,-36.3666666666667146.683333333333,Grassland,5322.222222,6134.444444,7983.17606,5842.405327,432,432,27,D973,4970,61,1,Ridley and Coventry 1992,,1992,1988,Beechworth, Australia,t/ha,Yellow podsoilc soil,,800,,-0.037,0.009,,146.6833333,-36.36666667,Australia,Grassland,Grassland,4,1985,0.189905368,0.383680103,0.483600184,779487.934,4118659.819,13677992.11,1.32204243,0.553193524,0.364389167,0.189905368,0.383493703,0.4835163,779487.934,4111128.987,13663310,1.32204243,0.55245042,0.364061177,0.483276327,0.494601481,0.484194526,0.954182442,0.463258042,0.243918841,1431705.54,4446189.185,9167177.835,0.326818305,0.121718416,0.03220529,952516.426,3217620.174,4181813.966,0.938727064,1.362287981,1.672888747,1.580854782,1.551655772,1.419333103,4.079049956,3.929083866,3.33849826,359.226173,12.58670831,92.08333333
3,3,1985,Liming,-36146,Upland Arable Land,1581,2236.25,2944.01087,2637.005878,160,160,40,D973,4014,25,1,Coventry et al. 1987,,1987,1981,Lilliput, Australia,t/ha,,,590,,-0.086,0.025,,146,-36,Australia,Grassland,Grassland,6,1980,0.48580261,0.407507698,0.341850155,1052165.128,5975834.42,21131500.56,0.697642414,0.755768554,0.796452148,0.48580261,0.407507698,0.341850155,1052165.128,5975834.42,21131500.56,0.697642414,0.755768554,0.796452148,0.338198462,0.367490479,0.573553231,0.779105453,0.757950001,0.294166929,818010.8351,5404562.839,13094907.81,0.175998928,0.225001823,0.084596613,532568.8685,3323915.568,7838467.964,0.974708086,0.761359947,1.193832346,1.644341304,1.850030844,1.661721018,3.775969917,5.22546295,3.845589063,340.2983062,15.53412497,46.25
4,4,1985,Liming,11.96666666666678.85,Upland Arable Land,1445,2124.25,3071.937499,2581.937257,120,120,40,D973,4220,1,1,Adeoye and Singh 1984,,1984,1975,Kano, Nigeria,t/ha,,,850,,0.663,0.034,,8.85,11.96666667,Nigeria,Grassland,Grassland,9,1977,0.085809135,0.103792221,0.079600842,726922.8335,3336227.023,10391342.83,2.739838805,1.663328954,1.688808484,0,0.011877813,0.007063382,0,193390.2752,481335.9124,NA,0.842530282,0.881580522,0.914190865,0.889688574,0.915098712,0.140148656,0.118525631,0.084597169,396146.2859,2037806.453,5984079.865,0,0.006519205,0.005300446,0,228636.4654,856121.1417,NA,1.814839425,2.08953275,0.917925472,0.965828769,0.944744559,2.145191304,2.186293787,2.25221868,490.4111946,26.51389567,63.66666667
5,5,1985,Liming,28.1115.383333333333,Grassland,195,247.5,106.3014581,81.24038405,12,12,4,D973,4952,76,1,Zhan et al. 1991,,1991,1988,,,t/ha,,17.5,1565,,0.094,0.034,,115.3833333,28.1,China,Grassland,Grassland,3,1984,0.059437912,0.083033084,0.063959078,296118.8124,2138022.368,7869743.415,1.607428744,1.329252178,1.587975445,0.059437912,0.083033084,0.063959078,296118.8124,2138022.368,7869743.415,1.607428744,1.329252178,1.587975445,0.919986553,0.902164954,0.912923288,0.155677211,0.141570339,0.137566296,443891.923,2474069.645,9731077.312,0.020575535,0.014801962,0.023117634,160449.1798,817438.2311,3878270.086,2.51602899,2.850899805,2.165110523,0.754264874,0.88244864,0.789870491,1.672371497,1.878167033,1.666007991,370.5144987,18.01893775,131
6,6,1985,Super absorbent polymer,34.267063108.134448,Wheat,4989,5331,15.64802391,14.19601293,3,3,1,D652,1971,72,1,,,1993,NA,,China,kg/ha,,,NA,,NA,NA,"72.ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Wei, Q.F., Zhang, Y.L., Zang, Y. S. The Effects of Comprehensive Water Conservation Technique on Grain crop Yield in soil-Plant System. Agricultural Research in the Arid Areas (01):24-27 (1993)(in",108.134448,34.267063,China,Wheat,Grains,NA,1986,0,0.000535487,0.002805536,0,57286.87449,883320.5919,NA,5.515668727,4.058200858,0,0,0.00204713,0,0,611019.3102,NA,NA,3.847161216,0.918916663,0.91466908,0.919977789,0.2242908,0.224947173,0.209287096,639606.9633,3990733.477,14937875.42,0.081083337,0.084795433,0.077216675,604694.0125,4147092.551,13675822.24,2.403136606,2.521523827,2.282828632,0.469901113,0.489558106,0.503318952,1.416311593,1.441752037,1.43901885,353.3098166,12.86193765,54.33333333
7,7,1985,Super absorbent polymer,36.935306115.084537,Wheat,4689.45,5342.3625,29.41696762,28.50994359,12,12,4,D652,1759,28,1,,,1994,NA,,China,kg/ha,,,NA,,NA,NA,"28.ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Sun, Y.X., Li, J, C., Zhao, F.P. Effect of water retaining agent on wheat growth and yield. Beijing Agricultural Science 08(10) (1994). (in",115.084537,36.935306,China,Wheat,Grains,NA,1987,0.002312378,0.002784864,0.004342956,42406.98835,321545.4054,1508003.24,5.906039931,5.949401638,4.472918159,0.000231262,0.001157054,0.000885975,6352.758706,170141.5064,475368.863,8.846583373,7.576898023,6.911674526,0.99005412,0.941058175,0.944376895,0.062525504,0.124876671,0.121800668,192219.9376,2280671.905,8929372.116,0.007633503,0.056156961,0.051280149,133731.8446,2163339.717,9415270.001,5.641942828,1.984979828,2.365144082,0.748866879,0.805934956,0.795979182,1.689844926,1.83646406,1.840246452,204.8519063,13.2468751,42.83333333
8,8,1985,Super absorbent polymer,39.949683116.292866,Wheat,5231.55,5623.95,36.69115471,33.49157449,15,15,5,D652,1769,31,1,,,1991,NA,,China,kg/ha,,,NA,,NA,NA,"31.ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ Han, Q.R., Luo, Y.Q., Fang, C. L. Effects of water retaining agent and drought resistance agent on wheat growth and development. Beijing Agricultural Science (01):35-37 (1991). (in",116.292866,39.949683,China,Wheat,Grains,NA,1984,0.045308656,0.042980051,0.051089441,336149.7397,1756406.254,7286373.249,2.387649102,2.104235944,1.835928629,0.015456433,0.022436529,0.030909162,116305.0914,805155.4557,3195582.763,2.421633177,1.847823384,1.330878387,0.156409729,0.103588598,0.177792103,3.529736519,4.256990732,2.602608762,1715485.887,8564031.902,35945607.37,0.798281615,0.853431351,0.771118456,1138306.482,3492669.186,15138134.48,0.45890415,0.210729455,0.252712539,1.340779024,1.392222937,1.445825452,2.861326363,2.905366615,3.162005463,254.8903985,12.28789578,47.16666667
9,9,1985,control conventional tillage-treatm no tillage,-14.79328.195,Maize,4321.166667,4333.5,NA,NA,72,72,24,D1120,5031,8,1,,,1992,1988,Gart Farm,Zambia,kg/ha,,,,,NA,NA,"Gill. K. S.. et al. (1992). ""Influence of residue mulch. tillage and cultural practices on weed mass and corn yield from three field experiments."" Soil and Tillage Research 24(3): 211-223.",28.195,-14.793,Zambia,Maize,Grains,4,1985,0.951879917,0.982456796,0.974451551,1522071.301,7208198.967,25693919.04,0.517004051,0.379552218,0.341010214,0.948803143,0.981217148,0.972157873,1503570.058,7165393.466,25525267.56,0.512375868,0.377774938,0.339571155,0.048120083,0.017543204,0.025537259,2.155487465,2.242115316,1.859603334,320797.339,760341.3699,3671954.684,0,0,1.11898E-05,0,0,3162.06548,NA,NA,3.654660305,0.993150947,0.912070987,0.957490166,2.289096046,2.227087016,2.301781886,681.1652659,20.78831259,70.5
10,10,1985,control conventional tillage-treatm no tillage,-19.82930.783,Maize,2815,2515,NA,NA,8,4,1,D1120,6242,40,1,,,1993,1988,Makoholi Research Station,Zimbabwe,kg/ha,,,,,NA,NA,"Vogel. H. (1993). ""Tillage effects on maize yield. rooting depth and soil water content on sandy soils in Zimbabwe."" Field Crops Research 33(4): 367-384.",30.783,-19.829,Zimbabwe,Maize,Grains,5,1986,0.565058803,0.523688522,0.555131564,1137614.164,6540137.258,27082816.7,0.650508098,0.645627137,0.630528891,0.561248686,0.521772631,0.551896965,1105219.175,6428955.431,26431561.32,0.636274378,0.636981896,0.618973269,0.434669055,0.47574541,0.444726919,0.374537225,0.344769083,0.359389217,503851.2604,3172743.415,12366630.31,0.000272142,0.000566067,0.000141517,7183.233323,39885.7497,39885.7497,8.528553606,3.642650805,3.642650805,1.125928331,1.055567986,1.124041545,2.613371444,2.459805753,2.568897515,668.2575171,18.72143753,53.66666667
