No.,DatasetID,Source,Country,Site/Region,Latitude,Longitude,Crop type,yield_control,yield_treatm,yield_measure,Treatment,QualityOfDataPoint,Coordinate_format
1,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3158,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
2,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,2922,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
3,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,2651,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
4,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3238,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
5,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3169,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
6,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3144,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
7,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,4427,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
8,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3790,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
9,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,3832,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
10,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,6249,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
11,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,5814,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
12,D66,NA,China,Shaanxi,35.41861111,107.9286111,wheat,,5353,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
13,D66,NA,China,Shaanxi,35.2,107.675,wheat,4073,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
14,D66,NA,China,Shaanxi,35.2,107.675,wheat,4565,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
15,D66,NA,China,Shaanxi,35.2,107.675,wheat,4587,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
16,D66,NA,China,Shaanxi,35.2,107.675,wheat,4357,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
17,D66,NA,China,Shaanxi,35.2,107.675,wheat,5012,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
18,D66,NA,China,Shaanxi,35.2,107.675,wheat,5329,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
19,D66,NA,China,Shaanxi,35.2,107.675,wheat,5216,,kg/hm^2,Legume Green Manure,Control and Treatment not paired,Degr-Min-Sec
