"","pr_land_cover_Year","pr_Treatment","pr_Croptype","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_control_kgha_sd","pr_yield_treatm_kgha_sd","pr_yield_control_kgha_n","pr_yield_treatm_kgha_n","DatasetID","Source","Country","SiteRegion","QualityOfDataPoint","pr_pub_Year","pr_Longitude","pr_Latitude","nat.hab.1000","nat.hab.2000","nat.hab.5000","nat.hab.wo.grass.1000","nat.hab.wo.grass.2000","nat.hab.wo.grass.5000","cropland.1000","cropland.2000","cropland.5000","crop.peri.area.ratio.1000","crop.peri.area.ratio.2000","crop.peri.area.ratio.5000","crop.edgelength.1000","crop.edgelength.2000","crop.edgelength.5000","inert.1000","inert.2000","inert.5000"
"1",1985,"Cover crops","Maize",10093.3333333333,9676.66666666667,549.211556081382,1068.00436952914,3,3,"D473","1","USA",NA,NA,1991,-82,40.8,0.400708479,0,0,0.263017259,0,0,0.524385762,0,0,19.7397998801743,NA,NA,103069.9733,0,0,0.0749057590000001,1,1
"2",2007,"Super Absorbent Polymer (SAP)","Wheat",4319.5,4691.7,0,0,3,3,"D652","1","China",NA,NA,2014,114.518979,34.579356,0.00052798,0.00052798,0.00052798,0.000237993,0.000237993,0.000237993,0.900653764,0.900653764,0.900653764,8.24594245962965,29.8632349765339,204.586660439438,73845.828,267437.63061618,1832158.229562,0.0988182559999999,0.0988182559999999,0.0988182559999999
"4",2006,"Super Absorbent Polymer (SAP)","Wheat",7592.6,8101.9,NA,NA,1,1,"D652","10","China",NA,NA,2013,113.504939,34.138869,0.006385081,0.006385081,0.006385081,0.005133075,0.005133075,0.005133075,0.660257554,0.660257554,0.660257554,16.6561686733508,67.5235424048313,422.617348896653,109338.414742,443254.22185,2774246.09927,0.333357365,0.333357365,0.333357365
"5",2012,"Super Absorbent Polymer (SAP)","Maize",9546.5,10231,239.600361713695,664.024597937958,4,4,"D652","100",NA,NA,NA,2019,111.766667,40.266667,0.795457806,0.795457806,0.795457806,0.303509533,0.303509533,0.303509533,0.191254793,0.191254793,0.191254793,10.957933996157,33.753132130472,734.053059977447,20865.346309,64270.39907,1397733.4879898,0.013287401,0.013287401,0.013287401
"6",2012,"Super Absorbent Polymer (SAP)","Maize",9545,10557.1666666667,225.661693692128,781.77833601774,6,6,"D652","100","China",NA,NA,2019,102.72,40.27,0.01792577,0.01792577,0.01792577,0.017760501,0.017760501,0.017760501,0.000915852,0.000915852,0.000915852,0,0,631.822906459144,0,0,5760.8835247,0.981158378,0.981158378,0.981158378
"7",2012,"Super Absorbent Polymer (SAP)","Maize",9679.75,10929.25,257.672110766118,671.437450549193,4,4,"D652","100",NA,NA,NA,2019,111.77,40.27,0.808789388,0.808789388,0.808789388,0.305217908,0.305217908,0.305217908,0.179011393,0.179011393,0.179011393,9.74700529841744,36.6100482336459,767.303867078087,17371.360114,65247.35672,1367508.4175898,0.012199219,0.012199219,0.012199219
"8",2011,"Super Absorbent Polymer (SAP)","Maize",15758.914,14912.844,827.711013748156,1062.54074892684,5,5,"D652","102","China",NA,NA,2018,126.60972,45.719167,0.049660965,0.049660965,0.049660965,0.049648365,0.049648365,0.049648365,0.125062897,0.125062897,0.125062897,9.74099864498216,110.187232895033,1220.35246962586,12144.1880766,137371.38549,1521424.08094,0.825276138,0.825276138,0.825276138
"10",2005,"Super Absorbent Polymer (SAP)","Maize",6423.9,7337.43,0,112.420692045548,5,5,"D652","104","China",NA,NA,2012,100.183729,38.969175,0.160486669,0.160486669,0.160486669,0.075511173,0.075511173,0.075511173,0.601164557,0.601164557,0.601164557,10.7805184911977,28.7924635160941,208.57292895967,64504.6995421,172278.28232,1247985.811271,0.238348774,0.238348774,0.238348774
"12",2000,"Super Absorbent Polymer (SAP)","Maize",16704.75,19110.25,1376.01819573725,1883.47335393947,6,6,"D652","106","China",NA,NA,2007,113.091697,28.201943,0.100212719,0.100212719,0.100212719,0.099998172,0.099998172,0.099998172,0.444052307,0.444052307,0.444052307,29.4466044867845,119.678081129988,833.704843302151,129843.02378,527713.26966,3676171.1471,0.455734974,0.455734974,0.455734974
"13",2004,"Super Absorbent Polymer (SAP)","Maize",9213,9977.975,0,437.647208091174,6,6,"D652","107","China",NA,NA,2011,112.528611,38.053518,0.577992256,0.577992256,0.577992256,0.00163103,0.00163103,0.00163103,0.34477123,0.34477123,0.34477123,36.2162648711966,119.485923628053,783.757390496689,124250.08261,409930.0669,2688900.163,0.0772365140000001,0.0772365140000001,0.0772365140000001
