"No.","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","yield_control","yield_treatm","yield_measure","Treatment","QualityOfDataPoint","Coordinate_format","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_measure_unified","pr_pub_Year","pr_Croptype","pr_Longitude","pr_Latitude","pr_Treatment","pr_harvest_Year","pr_Year_difference","pr_harvest_Year_by_median","pr_land_cover_Year"
"378","D331","Zhang et al. (2016)","China",NA,36.31666667,106.75,"Maize",3629,4744,"kg/ha","Straw return",NA,"Degr-Min-Sec",3629,4744,"kg/ha",2016,"Maize","106.75","36.31666667","Straw return",NA,NA,2009,2009
"379","D331","Zhang et al. (2016)","China",NA,36.31666667,106.75,"Maize",5377,6352,"kg/ha","Straw return",NA,"Degr-Min-Sec",5377,6352,"kg/ha",2016,"Maize","106.75","36.31666667","Straw return",NA,NA,2009,2009
"419","D331","He et al. (2016)",NA,NA,46.59025,126.1481278,"Maize",11484.9,12757.3,"kg/ha","Straw return",NA,"Degr-Min-Sec",11484.9,12757.3,"kg/ha",2016,"Maize","126.1481278","46.59025","Straw return",NA,NA,2009,2009
"420","D331","He et al. (2016)",NA,NA,46.59025,126.1481278,"Maize",12462.9,13782.7,"kg/ha","Straw return",NA,"Degr-Min-Sec",12462.9,13782.7,"kg/ha",2016,"Maize","126.1481278","46.59025","Straw return",NA,NA,2009,2009
"438","D331","Liu et al. (2016)",NA,NA,31.26666667,105.45,"Wheat",2800,3400,"kg/ha","Straw return",NA,"Degr-Min-Sec",2800,3400,"kg/ha",2016,"Wheat","105.45","31.26666667","Straw return",NA,NA,2009,2009
"439","D331","Liu et al. (2016)",NA,NA,31.26666667,105.45,"Maize",5600,7520,"kg/ha","Straw return",NA,"Degr-Min-Sec",5600,7520,"kg/ha",2016,"Maize","105.45","31.26666667","Straw return",NA,NA,2009,2009
"491","D331","Wang et al. (2016)",NA,NA,34.2,108.1166667,"Maize",9188.25,9696.33,"kg/ha","Straw return",NA,"Degr-Min-Sec",9188.25,9696.33,"kg/ha",2016,"Maize","108.1166667","34.2","Straw return",NA,NA,2009,2009
"492","D331","Wang et al. (2016)",NA,NA,34.2,108.1166667,"Maize",11005.8,12940.95,"kg/ha","Straw return",NA,"Degr-Min-Sec",11005.8,12940.95,"kg/ha",2016,"Maize","108.1166667","34.2","Straw return",NA,NA,2009,2009
"493","D331","Wang et al. (2016)",NA,NA,34.2,108.1166667,"Maize",9752.8,11027.3,"kg/ha","Straw return",NA,"Degr-Min-Sec",9752.8,11027.3,"kg/ha",2016,"Maize","108.1166667","34.2","Straw return",NA,NA,2009,2009
"494","D331","Wang et al. (2016)",NA,NA,34.2,108.1166667,"Wheat",5421,5494.15,"kg/ha","Straw return",NA,"Degr-Min-Sec",5421,5494.15,"kg/ha",2016,"Wheat","108.1166667","34.2","Straw return",NA,NA,2009,2009
