ma_id,row_id,study_id,comparison_id,author_year,title,study_pubyear,harvest_year,longitude,latitude,region,country,control_replicates,treatment_replicates,crop_type,treatment,yield_control,yield_treatment,yield_SD_control,yield_SD_treatment,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference
D331,1,1,1,,Changes in soil enzymes soil properties and maize crop productivity under wheat straw mulching in Guanzhong China,,,108°7′,34°12′,Guanzhong,China,3,3,Maize,Straw return,8866,9442,886.6,944.2,kg/ha,,,,,,,
D331,2,1,2,,Changes in soil enzymes soil properties and maize crop productivity under wheat straw mulching in Guanzhong China,,,108°7′,34°12′,Guanzhong,China,3,3,Maize,Straw return,8763,9424,876.3,942.4,kg/ha,,,,,,,
D331,3,2,1,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,7756.8,9305.1,817.5,596.1,kg/ha,,,,,,,
D331,4,2,2,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,9050,10633.4,757,428.8,kg/ha,,,,,,,
D331,5,2,3,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,6513.9,6938.9,705.1,1457.8,kg/ha,,,,,,,
D331,6,2,4,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,6923.5,7119.1,86.5,477.3,kg/ha,,,,,,,
D331,7,2,5,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,5480,6993.4,246.6,171.5,kg/ha,,,,,,,
D331,8,2,6,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Maize,Straw return,8396.7,9030,969.4,1296.2,kg/ha,,,,,,,
D331,9,2,7,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,3461.3,4081.8,74.3,353.5,kg/ha,,,,,,,
D331,10,2,8,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,4083.4,5230,190.7,696,kg/ha,,,,,,,
D331,11,2,9,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,3466.7,4053.4,174.6,189.3,kg/ha,,,,,,,
D331,12,2,10,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,1790,2573.3,379.7,135.2,kg/ha,,,,,,,
D331,13,2,11,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,1086.7,1703.3,162.1,161.1,kg/ha,,,,,,,
D331,14,2,12,,Effects of long-term full straw return on yield and potassium response in wheat-maize rotation,,,116°35´16.24´´,39°35´47.03´´,,China,3,3,Wheat,Straw return,3120,3166.7,360.6,149.7,kg/ha,,,,,,,
D331,15,3,1,,Increasing straw incorporation rates improves subsoil fertility and crop yield in the Huang-Huai-Hai Plain of China,,,116°18′,37°27′,Huang-Huai-Hai Plain,China,3,3,Maize,Straw return,10500,10600,150,80,kg/ha,,,,,,,
