"","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","Treatment","QualityOfDataPoint","Coordinate_format","ControlTreatm","Yield_mean","Yield_median","Yield_se","ObjectID"
"1","D1120","Barrios et al. (2006)","Argentina","Esteban EcheverrÃ­a Partid",-34.84,-58.47,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2800,2800,NA,1
"2","D1120","Barrios et al. (2006)","Argentina","Esteban EcheverrÃ­a Partid",-34.84,-58.47,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4200,4200,NA,2
"3","D1120","Bono et al. (2008)","Argentina","Anguil",-36.54,-63.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",6140,6140,NA,3
"4","D1120","Bono et al. (2008)","Argentina","Anguil",-36.54,-63.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",8160,8160,NA,4
"5","D1120","Cassel & Wagger (1996)","USA","Salisbury",35.699,-80.622,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",5365,5365,3295,5
"6","D1120","Cassel & Wagger (1996)","USA","Salisbury",35.699,-80.622,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",7295,7295,3845,6
"7","D1120","Diaz-Zorita (2000)","Argentina","Drabble",-34.9,-63.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",7663,7663,2426,7
"8","D1120","Diaz-Zorita (2000)","Argentina","Drabble",-34.9,-63.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",6502,6502,1792,8
"9","D1120","Franzluebbers & Stuedemann (2007)","USA","Watkinsville",33.88,-83.42,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",6945,6945,515,9
"10","D1120","Franzluebbers & Stuedemann (2007)","USA","Watkinsville",33.88,-83.42,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",8630,8630,0,10
"11","D1120","Franzluebbers & Stuedemann (2014)","USA","Watkinsville",33.88,-83.42,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1400,1400,800,11
"12","D1120","Franzluebbers & Stuedemann (2014)","USA","Watkinsville",33.88,-83.42,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2200,2200,210,12
"13","D1120","Gill et al. (1992)","Zambia","Gart Farm",-14.793,28.195,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4321.16666666667,4349.5,533.295733502511,13
"14","D1120","Gill et al. (1992)","Zambia","Gart Farm",-14.793,28.195,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4333.5,4297,544.33700199337,14
"15","D1120","Guan et al. (2014)","China","Hebei",37.68,116.62,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",9180,9180,1690,15
"16","D1120","Guan et al. (2014)","China","Hebei",37.68,116.62,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",8325,8325,1565,16
"17","D1120","Guto et al. (2012)","Kenya","Meru",-0.25,37.65,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",5363.33333333333,5260,657.326233903514,17
"18","D1120","Guto et al. (2012)","Kenya","Meru",-0.25,37.65,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4610,4970,805.56398463023,18
"19","D1120","Huifang et al. (2014)","China","Shandong",36.172,117.151,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",6936,6936,181,19
"20","D1120","Huifang et al. (2014)","China","Shandong",36.172,117.151,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",7034,7034,0,20
"21","D1120","Hunt et al. (2004)","USA","South Carolina",34.3,-79.732,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4486.66666666667,4690,349.454842388379,21
"22","D1120","Hunt et al. (2004)","USA","South Carolina",34.3,-79.732,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4589.16666666667,4805,341.157695549028,22
"23","D1120","Kayode & Ademiluyi (2004)","Nigeria","Ado-Ekiti",7.713,5.245,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3425,3450,593.541630104129,23
"24","D1120","Kayode & Ademiluyi (2004)","Nigeria","Ado-Ekiti",7.713,5.245,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",1900,1650,452.769256906871,24
"25","D1120","Lawrance et al. (1999)","South Africa","Pietermaritzburg",-29.537,30.266,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",6399.625,6760.5,593.927753467781,25
"26","D1120","Lawrance et al. (1999)","South Africa","Pietermaritzburg",-29.537,30.266,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",6289.625,6579,561.42124932748,26
"27","D1120","Liu & Wiatrak (2012)","USA","South Carolina",33.359,-81.331,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3656.66666666667,3930,410.257371793745,27
"28","D1120","Liu & Wiatrak (2012)","USA","South Carolina",33.359,-81.331,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2830,2980,289.885034683292,28
"29","D1120","Materechera & Mloza-Banda (1997)","Malawi","Lilongwe",-14.191,33.775,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4809.66666666667,4763,139.945624360956,29
"30","D1120","Materechera & Mloza-Banda (1997)","Malawi","Lilongwe",-14.191,33.775,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4476,4301,210.96998206696,30
"31","D1120","Matsumoto et al. (2008)","Thailand","Khon Kaen",16.08,102.13,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2366.66666666667,2400,145.296631451356,31
"32","D1120","Matsumoto et al. (2008)","Thailand","Khon Kaen",16.08,102.13,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",966.666666666667,800,166.666666666667,32
"33","D1120","Micheni et al. (2016)","Kenya","Kyeni and Mweru",-0.32,37.62,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2796.75,2748.5,270.917384393595,33
"34","D1120","Micheni et al. (2016)","Kenya","Kyeni and Mweru",-0.32,37.62,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2820.75,2901,369.551614572759,34
"35","D1120","Micheni et al. (2016)","Kenya","Mworoga and Mariani",-0.24,37.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1392.5,1191,363.738344601354,35
"36","D1120","Micheni et al. (2016)","Kenya","Mworoga and Mariani",-0.24,37.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",1579.75,1280.5,537.324448075834,36
"37","D1120","Mupangwa et al. (2012)","Zimbabwe","Matapos",-20.427,28.408,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1605.72222222222,1463,44.6264868389968,37
"38","D1120","Mupangwa et al. (2012)","Zimbabwe","Matapos",-20.427,28.408,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2175.2037037037,2224,60.5587241135275,38
"39","D1120","Ngwira et al. (2012)","Malawi","Ntcheu",-14.97,34.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3372,3415,115.945912154998,39
"40","D1120","Ngwira et al. (2012)","Malawi","Ntcheu",-14.97,34.73,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4320.08333333333,4292.5,126.622527696307,40
"41","D1120","Ngwira et al. (2012)","Malawi","Ntcheu",-14.93,34.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3512.66666666667,3522,166.677757206757,41
"42","D1120","Ngwira et al. (2012)","Malawi","Ntcheu",-14.93,34.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4436.16666666667,4523.5,182.806729922753,42
"43","D1120","Norwood et al. (1996)","USA","Kansas",37.995,-100.815,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4928.83333333333,4923.5,452.104002819129,43
"44","D1120","Norwood et al. (1996)","USA","Kansas",37.995,-100.815,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5895.97222222222,6303.5,405.402883064492,44
"45","D1120","Nyakatawa et al. (2001)","USA","Alabama",34.688,-86.885,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",8766.66666666667,9500,1883.55455927822,45
"46","D1120","Nyakatawa et al. (2001)","USA","Alabama",34.688,-86.885,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",8800,9300,1550.2687938978,46
"47","D1120","Olson et al. (2013)","USA","Illinois",37.436,-88.67,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",9802.5,10675,1083.54645339582,47
"48","D1120","Olson et al. (2013)","USA","Illinois",37.436,-88.67,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",9737.5,10295,1234.01360743443,48
"49","D1120","Potter et al. (1996)","USA","Texas",31.051,-97.35,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",7657,7683,514.006160793169,49
"50","D1120","Potter et al. (1996)","USA","Texas",31.051,-97.35,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",6428.66666666667,6552,575.467732467348,50
"51","D1120","Radford & Thornton (2011)","Australia","Biloela",-24.37,150.52,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1747,1747,1482,51
"52","D1120","Radford & Thornton (2011)","Australia","Biloela",-24.37,150.52,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2420.5,2420.5,722.5,52
"53","D1120","Sharma et al. (1988)","Philippines","Los Banos",14.167,121.258,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2100,2100,NA,53
"54","D1120","Sharma et al. (1988)","Philippines","Los Banos",14.167,121.258,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",600,600,NA,54
"55","D1120","TerAvest et al. (2015)","Malawi","Dowa",-13.47,33.71,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",6500,6500,NA,55
"56","D1120","TerAvest et al. (2015)","Malawi","Dowa",-13.47,33.71,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",6870,6870,NA,56
"57","D1120","TerAvest et al. (2015)","Malawi","Nkhotakota",-13.06,34.3,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4780,4780,NA,57
"58","D1120","TerAvest et al. (2015)","Malawi","Nkhotakota",-13.06,34.3,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5680,5680,NA,58
"59","D1120","Thierfelder & Wall (2009)","Zambia","Monze",-16.24,27.44,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4248.5,4248.5,281.073744771724,59
"60","D1120","Thierfelder & Wall (2009)","Zambia","Monze",-16.24,27.44,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5355.33333333333,5190.5,190.529379478453,60
"61","D1120","Thierfelder & Wall (2009)","Zimbabwe","Mazowe",-17.571,30.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3806,3806,318.697348592673,61
"62","D1120","Thierfelder & Wall (2009)","Zimbabwe","Mazowe",-17.571,30.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3500.25,3160.5,649.59671784372,62
"63","D1120","Thierfelder & Wall (2012)","Zimbabwe","Chikato",-19.85,30.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",1259.85714285714,1477,148.891392571195,63
"64","D1120","Thierfelder & Wall (2012)","Zimbabwe","Chikato",-19.85,30.88,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",2021.78571428571,2171.5,288.577282744449,64
"65","D1120","Thierfelder & Wall (2012)","Zimbabwe","Mashonaland",-17.42,31.44,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4935.2,5019,255.077103811551,65
"66","D1120","Thierfelder & Wall (2012)","Zimbabwe","Mashonaland",-17.42,31.44,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5058.8,5019,372.871434500776,66
"67","D1120","Thierfelder & Wall (2012)","Zimbabwe","Mazowe",-17.571,30.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2725.7619047619,2490,191.845144825046,67
"68","D1120","Thierfelder & Wall (2012)","Zimbabwe","Mazowe",-17.571,30.986,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3601.95238095238,3035,293.899375892955,68
"69","D1120","Thierfelder et al. (2012)","Zimbabwe","Shamva",-17,31.43,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3386,3386,18.475208614068,69
"70","D1120","Thierfelder et al. (2012)","Zimbabwe","Shamva",-17,31.43,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",1975.75,2021,336.999350889583,70
"71","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.99,34.97,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2631.13953488372,2111,262.317224415866,71
"72","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.99,34.97,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3244.27906976744,2868,362.279814100873,72
"73","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.96,34.98,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3008.85714285714,3052,206.522032912939,73
"74","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.96,34.98,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4150.42857142857,4550,245.593891409467,74
"75","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.88,35.04,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2362.4,2206,199.482508283586,75
"76","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.88,35.04,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",3341.7,3450.5,189.311034484992,76
"77","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.79,35.01,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",2529.33333333333,2544.5,134.081461745606,77
"78","D1120","Thierfelder et al. (2013)","Malawi","Balaka",-14.79,35.01,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4306.58333333333,4349.5,251.025003533492,78
"79","D1120","Thierfelder et al. (2013)","Malawi","Dowa",-13.76,34.05,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3842,4098,226.18193267073,79
"80","D1120","Thierfelder et al. (2013)","Malawi","Dowa",-13.76,34.05,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4426.1,4387.5,145.873266913441,80
"81","D1120","Thierfelder et al. (2013)","Malawi","Lilongwe",-13.973,33.654,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4944.83333333333,4964,107.785413349717,81
"82","D1120","Thierfelder et al. (2013)","Malawi","Lilongwe",-13.973,33.654,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5254.6875,4955.5,172.901140009352,82
"83","D1120","Thierfelder et al. (2013)","Malawi","Machinga",-15.17,35.28,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3230.5,3209.5,406.790346940087,83
"84","D1120","Thierfelder et al. (2013)","Malawi","Machinga",-15.17,35.28,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5038.66666666667,4959.5,442.461560277537,84
"85","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-13.29,34.13,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4625.8,4676,227.131425488514,85
"86","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-13.29,34.13,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5170,5496.5,288.287318100845,86
"87","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-13.23,34.24,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4568,4911,445.053205308709,87
"88","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-13.23,34.24,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",5616.9,5967,508.070499263854,88
"89","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-12.8,34.2,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",3770.6,4144,396.76993613708,89
"90","D1120","Thierfelder et al. (2013)","Malawi","Nkhotakota",-12.8,34.2,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Treatment",4777.4,5339.5,485.829078311841,90
"91","D1120","Thierfelder et al. (2013)","Malawi","Salima",-13.69,34.24,"Maize","Straw addition","Control: conventional tillage, Treatment: no tillage",NA,"Control",4071.5,4291,623.08687195286,91
