"No.","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","yield_control","yield_treatm","yield_measure","Treatment","QualityOfDataPoint","Coordinate_format","pr_yield_control_kgha","pr_yield_treatm_kgha","pr_yield_measure_unified","pr_pub_Year","pr_Croptype","pr_Longitude","pr_Latitude","pr_Treatment","pr_harvest_Year","pr_Year_difference","pr_harvest_Year_by_median","pr_land_cover_Year"
"316","D331","Akhtar et al. (2018)","China",NA,34.2,108.1166667,"Maize",8866,9442,"kg/ha","Straw return",NA,"Degr-Min-Sec",8866,9442,"kg/ha",2018,"Maize","108.1166667","34.2","Straw return",NA,NA,2011,2011
"317","D331","Akhtar et al. (2018)","China",NA,34.2,108.1166667,"Maize",8763,9424,"kg/ha","Straw return",NA,"Degr-Min-Sec",8763,9424,"kg/ha",2018,"Maize","108.1166667","34.2","Straw return",NA,NA,2011,2011
"318","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",7756.8,9305.1,"kg/ha","Straw return",NA,"Degr-Min-Sec",7756.8,9305.1,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"319","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",9050,10633.4,"kg/ha","Straw return",NA,"Degr-Min-Sec",9050,10633.4,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"320","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",6513.9,6938.9,"kg/ha","Straw return",NA,"Degr-Min-Sec",6513.9,6938.9,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"321","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",6923.5,7119.1,"kg/ha","Straw return",NA,"Degr-Min-Sec",6923.5,7119.1,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"322","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",5480,6993.4,"kg/ha","Straw return",NA,"Degr-Min-Sec",5480,6993.4,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"323","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Maize",8396.7,9030,"kg/ha","Straw return",NA,"Degr-Min-Sec",8396.7,9030,"kg/ha",2015,"Maize","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"324","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",3461.3,4081.8,"kg/ha","Straw return",NA,"Degr-Min-Sec",3461.3,4081.8,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"325","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",4083.4,5230,"kg/ha","Straw return",NA,"Degr-Min-Sec",4083.4,5230,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"326","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",3466.7,4053.4,"kg/ha","Straw return",NA,"Degr-Min-Sec",3466.7,4053.4,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"327","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",1790,2573.3,"kg/ha","Straw return",NA,"Degr-Min-Sec",1790,2573.3,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"328","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",1086.7,1703.3,"kg/ha","Straw return",NA,"Degr-Min-Sec",1086.7,1703.3,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"329","D331","Bai et al. (2015)","China",NA,39.59639722,116.5878444,"Wheat",3120,3166.7,"kg/ha","Straw return",NA,"Degr-Min-Sec",3120,3166.7,"kg/ha",2015,"Wheat","116.5878444","39.59639722","Straw return",NA,NA,2008,2008
"330","D331","Cong et al. (2020)","China",NA,37.45,116.3,"Maize",10500,10600,"kg/ha","Straw return",NA,"Degr-Min-Sec",10500,10600,"kg/ha",2020,"Maize","116.3","37.45","Straw return",NA,NA,2013,2013
"331","D331","Cong et al. (2020)","China",NA,37.45,116.3,"Maize",10300,11400,"kg/ha","Straw return",NA,"Degr-Min-Sec",10300,11400,"kg/ha",2020,"Maize","116.3","37.45","Straw return",NA,NA,2013,2013
"332","D331","Cong et al. (2020)","China",NA,37.45,116.3,"Maize",10200,10600,"kg/ha","Straw return",NA,"Degr-Min-Sec",10200,10600,"kg/ha",2020,"Maize","116.3","37.45","Straw return",NA,NA,2013,2013
"333","D331","Cong et al. (2020)","China",NA,37.45,116.3,"Wheat",5220,5390,"kg/ha","Straw return",NA,"Degr-Min-Sec",5220,5390,"kg/ha",2020,"Wheat","116.3","37.45","Straw return",NA,NA,2013,2013
"334","D331","Cong et al. (2020)","China",NA,37.45,116.3,"Wheat",5510,5850,"kg/ha","Straw return",NA,"Degr-Min-Sec",5510,5850,"kg/ha",2020,"Wheat","116.3","37.45","Straw return",NA,NA,2013,2013
